Osgiliath MinasMorgul
MinasMorgul Mordor
DeadMarshes Mordor
MinasTirith Osgiliath
Anduin Osgiliath
GapOfRohan Edoras
Edoras Entwash
Entwash Anduin
Moria Lorien
Lorien NorthAnduin
NorthAnduin EmynMuil
EmynMuil DeadMarshes
NorthMistyMountains MistyMountains
MistyMountains Moria
NorthMistyMountains Caradhras
Caradhras GladdenFields
GladdenFields TheGreatRiver
TheGreatRiver Lorien
TheShire OldForest
OldForest BarrowDowns
BarrowDowns Bree
Bree WeatherTop
WeatherTop Ford
Ford Rivendell
Rivendell NorthMistyMountains
TheShire Buckland
Buckland SarnFord
SarnFord Greenway
Greenway Tharbod
Tharbod OldSouthRoad
Tharbod Hoarwell
Hoarwell Tharbod
Rivendell Hoarwell
Hoarwell Rivendell
OldSouthRoad Dunland
Dunland GapOfRohan
Dunland SouthMistyMountains
SouthMistyMountains Dunland
SouthMistyMountains MistyMountains
MistyMountains SouthMistyMountains
MistyMountains NorthMistyMountains
GapofRohan Dunland
GapofRohan EredNimrais
EredNimrais Erech
Erech Lamedon
Lamedon MinasTirith
